id,artist,hammer_price,artwork,sale_info
1,QI Baishi,57202000,Eagle Standing on Pine Tree; Four-Character [...],22 may (China Guardian BEIJING)
2,STILL Clyfford E.,55000000,1949-A-No . 1 (1949),09 november (Sotheby's NY)
3,WANG Meng,54040000,Zhi Chuan moving to Mountain,04 june (Poly International BEIJING)
4,LICHTENSTEIN Roy,38500000,I Can See the Whole Room!...and [...] (1961),08 november (Christie's NY)
5,GUARDI Francesco,38256120,"Venice, a View of the Rialto Bridge, Looking [...] (1760)",06 july (Sotheby's LONDON)
6,XU Beihong,36679200,Cultivation on the peaceful land (1951),05 december (Poly International BEIJING)
7,PICASSO Pablo,36274500,La lecture (1932),08 february (Sotheby's LONDON)
8,KLIMT Gustav,36000000,Litzlberg Am Attersee (1914),02 november (Sotheby's NY)
9,SCHIELE Egon,35681800,H_user mit bunter w_sche (Vordatdt II) [...] (1914),22 june (Sotheby's LONDON)
10,WARHOL Andy,34250000,Self-Portrait (1963),11 may (Christie's NY)
11,BACON Francis,32957850,Three studies for portrait of Lucian Freud (1969),10 february (Sotheby's LONDON)
12,STUBBS George,32158000,"Gimcrack on Newmarket Heath, with a trainer [É] (1765)",05 july (Christie's LONDON)
13,FU Baoshi,31520000,Landscapes (1964),17 november (Beijing Hanhai Art BEIJING)
14,ROTHKO Mark,30000000,Untitled No. 17 (1961),11 may (Christie's NY)
15,STILL Clyfford E.,28000000,1947-Y-No. 2 (1947),09 november (Sotheby's NY)
16,QI Baishi,26786500,Landscape (1931),13 november (China Guardian BEIJING)
17,ALMA-TADEMA Lawrence,26000000,The Meeting of Antony and Cleopatra: 41 BC (1885),05 may (Sotheby's NY)
18,PICASSO Pablo,25872000,"Femme assise, robe bleue (1939)",21 june (Christie's LONDON)
19,BACON Francis,25536000,Study for a portrait (1953),28 june (Christie's LONDON)
20,WARHOL Andy,24500000,Self-Portrait (1986),11 may (Christie's NY)
21,WARHOL Andy,24000000,Liz #5 (Early Colored Liz) (1963),12 may (Phillips de Pury & Co NY)
22,TANG Yin,23145000,Landscape,09 june (Beijing Jiuge International)
23,REN Yi,22533000,Huafeng People's Wishes to Emperor Yao,16 july (Xiling Yinshe Auction HANGZHOU)
24,BACON Francis,22500000,Studies for Self-Portrait (1974),11 may (Christie's NY)
25,ZHANG Daqian,21845000,Lotus and Mandarin Ducks (1947),31 may (Sotheby's HK)
26,XU Beihong,20596270,Figure,10 june (Beijing Jiuge International)
27,PICASSO Pablo,20500000,L'aubade (1967),02 november (Sotheby's NY)
28,MONET Claude,20000000,Les Peupliers (1891),04 may (Christie's NY)
29,VLAMINCK de Maurice,20000000,Paysage de banlieue (1905),04 may (Christie's NY)
30,PICASSO Pablo,19404000,Jeune fille endormie (1935),21 june (Christie's LONDON)
31,DALI Salvador,19292400,Portrait de Paul Eluard (1929),10 february (Sotheby's LONDON)
32,PICASSO Pablo,19000000,Femmes lisant (deux personnages) (1934),03 may (Sotheby's NY)
33,PICASSO Pablo,19000000,"Les femmes d'Alger, version L (1955)",04 may (Christie's NY)
34,RICHTER Gerhard,18500000,Abstraktes Bild (1997),09 november (Sotheby's NY)
35,SHI Tao,18355700,Landscape,01 january (Nanjing Jingdian BEIJING)
36,WARHOL Andy,18000000,Sixteen Jackies (1964),10 may (Sotheby's NY)
37,BACON Francis,17500000,Three Studies for a Self-Portrait (1967),09 november (Sotheby's NY)
38,STILL Clyfford E.,17500000,Ph-1033 (1976),09 november (Sotheby's NY)
39,WANG Hui,17435000,Landscape inspired by tang poems (1710),13 november (China Guardian BEIJING)
40,WANG Shimin,16569000,Landscapes (1647),05 november (Sungari International BEIJING)
41,ROTHKO Mark,16500000,White Cloud (1956),08 november (Christie's NY)
42,CAILLEBOTTE Gustave,16000000,Le pont d'Argenteuil et la Seine (1883),02 november (Sotheby's NY)
43,RICHTER Gerhard,16000000,Gudrun (1987),09 november (Sotheby's NY)
44,WARHOL Andy,15440640,Self-Portrait (1967),16 february (Christie's LONDON)
45,WU Guanzhong,15440000,Lion Woods (1988),03 june (Poly International BEIJING)
46,GIACOMETTI Alberto,15408050,Trois hommes qui marchent II (1948),22 june (Sotheby's LONDON)
47,PICASSO Pablo,15361500,Buste de Françoise (1946),21 june (Christie's LONDON)
48,KOONS Jeff,15000000,Pink panther (1988),10 may (Sotheby's NY)
49,TIZIANO VECELLIO,15000000,A Sacra Conversazione: the Madonna and Child [...] (1560),27 january (Sotheby's NY)
50,SAN Yu,14726560,Five Nudes (1950),30 may (Ravenel Art Group HK)
51,SU Shi,14677500,Bamboo and Stone,16 june (Beijing Highest BEIJING)
52,RICHTER Gerhard,14630760,Kerze (Candle) (1982),14 october (Christie's LONDON)
53,ERNST Max,14500000,The Stolen Mirror (1941),01 november (Christie's NY)
54,WARHOL Andy,14500000,Silver Liz (1963),08 november (Christie's NY)
55,CUI Ruzhuo,14113000,Lotus (2011),29 november (Christie's HK)
56,MATISSE Henri,14000000,La fenêtre ouverte (1911),04 may (Christie's NY)
57,WU Hufan,13553600,Landscape (1954),17 november (Beijing Hanhai Art BEIJING)
58,TWOMBLY Cy,13500000,Unititled (1967),11 may (Christie's NY)
59,BRANCUSI Constantin,13200000,Le premier cri (1917),01 november (Christie's NY)
60,HONG Yi,13115500,Figure (1939),09 june (Beijing Jiuge International)
61,QI Baishi,12765600,Banana trees,17 november (Beijing Hanhai Art BEIJING)
62,RICHTER Gerhard,12500000,Abstraktes Bild (1992),09 november (Sotheby's NY)
63,QI Baishi,12368000,Flowers and birds,22 may (China Guardian BEIJING)
64,BACON Francis,11825940,Crouching Nude (1961),29 june (Sotheby's LONDON)
65,FU Baoshi,11412000,Song of a pipa player,13 november (China Guardian BEIJING)
66,CHEN Yifei,10934000,Wind of Mountain Village (1994),24 may (China Guardian BEIJING)
67,BONNARD Pierre,10318080,Terrasse ‡ Vernon (1923),09 february (Christie's LONDON)
68,RICHTER Gerhard,10257920,Abstraktes Bild (1990),15 february (Sotheby's LONDON)
69,WU Guanzhong,10244000,Former residence of Qiu Jin (2002),03 december (Poly International BEIJING)
70,ZHU Da,10055500,Lotus (1699),21 june (Beijing Chieftown BEIJING)
71,GAUGUIN Paul,10000000,Jeune tahitienne (1893),03 may (Sotheby's NY)
72,JAWLENSKY von Alexej,10000000,Frau mit grŸnem f_cher (1912),03 may (Sotheby's NY)
73,WARHOL Andy,9895200,Mao (1973),28 june (Christie's LONDON)
74,BRUEGHEL Pieter II,9517830,The Battle between Carnival and Lent (1559),06 december (Christie's LONDON)
75,BOURGEOIS Louise,9500000,Spider (1996),08 november (Christie's NY)
76,ZHANG Daqian,9412300,Flowers (1944),09 june (Beijing Jiuge International)
77,PICASSO Pablo,9407020,"Couple, le baiser (1969)",22 june (Sotheby's LONDON)
78,ZOFFANY Johan Joseph,9373200,"The Garden at Hampton House, with Mr and Mrs [...] (1762)",07 december (Sotheby's LONDON)
79,GAINSBOROUGH Thomas,9325820,"Portrait of Mrs. William Villebois, full-length [...] (1777)",05 july (Christie's LONDON)
80,FAN Zeng,9258000,Figure (1997),09 june (Beijing Jiuge International)
81,GAUGUIN Paul,9216900,Le vallon (1892),21 june (Christie's LONDON)
82,SHI Tao,9169800,Arhat,05 december (Poly International BEIJING)
83,ZHANG Xiaogang,9002000,Forever Lasting Love (1988),03 april (Sotheby's HK)
84,MAGRITTE Ren_,9000000,Les vacances de Hegel (1958),01 november (Christie's NY)
85,DOIG Peter,8778000,Red boat (Imaginary boys) (2003),28 june (Christie's LONDON)
86,WARHOL Andy,8700000,Four Campbell's Soup Cans (1962),08 november (Christie's NY)
87,QI Baishi,8695500,Landscape,20 november (Beijing Highest BEIJING)
88,BACON Francis,8500000,Untitled (Crouching Nude on Rail) (1952),11 may (Christie's NY)
89,PICASSO Pablo,8500000,Couple ‡ la guitare (1970),03 may (Sotheby's NY)
90,WU Guanzhong,8492000,Shrubalthea (1975),03 june (Poly International BEIJING)
91,ZHANG Daqian,8481000,Children Playing under a Pomegranate Tree (1948),31 may (Sotheby's HK)
92,DERAIN Andr_,8383440,Bateaux ‡ Collioure (1905),09 february (Christie's LONDON)
93,QI Baishi,8337600,Grass and insects,03 june (Poly International BEIJING)
94,MITCHELL Joan,8250000,Untitled (1960),09 november (Sotheby's NY)
95,MONET Claude,8200000,"Antibes, Le Fort (1888)",02 november (Sotheby's NY)
96,VELDE van de Willem II,8191575,Dutch men-o'-war and other shipping in a calm (1665),06 december (Christie's LONDON)
97,STAèL de Nicolas,8171320,"Nu couch_, (Nu) (1953)",06 december (Artcurial (S.V.V.) PARIS)
98,POLKE Sigmar,8150310,Dschungel (Jungle) (1967),29 june (Sotheby's LONDON)
99,HUANG Zhou,8116499,Horse training (1976),22 may (China Guardian BEIJING)
100,TOULOUSE-LAUTREC de Henri,8109499,La liseuse (1889),22 june (Sotheby's LONDON)
